"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2007","1,151.50","1,131.25","1,153.25","1,124.50","109.50K","1.41%"
"12/11/2007","1,135.50","1,123.25","1,137.00","1,122.00","94.58K","0.87%"
"12/10/2007","1,125.75","1,117.50","1,127.50","1,115.00","89.93K","0.54%"
"12/07/2007","1,119.75","1,100.00","1,122.00","1,099.50","101.48K","1.91%"
"12/06/2007","1,098.75","1,097.00","1,103.50","1,088.75","74.64K","-0.07%"
"12/05/2007","1,099.50","1,090.25","1,105.25","1,089.25","79.38K","0.73%"
"12/04/2007","1,091.50","1,082.25","1,094.50","1,078.25","71.37K","1.18%"
"12/03/2007","1,078.75","1,083.25","1,091.00","1,068.50","77.30K","-0.12%"
"11/30/2007","1,080.00","1,097.25","1,097.75","1,075.50","79.02K","-1.64%"
"11/29/2007","1,098.00","1,097.00","1,107.00","1,094.00","68.57K","0.11%"
"11/28/2007","1,096.75","1,093.25","1,097.75","1,080.50","91.58K","0.53%"
"11/27/2007","1,091.00","1,099.00","1,101.50","1,082.50","72.54K","-1.16%"
"11/26/2007","1,103.75","1,100.50","1,114.00","1,092.00","81.07K","0.32%"
"11/23/2007","1,100.25","1,084.00","1,103.25","1,082.50","50.04K","1.50%"
"11/21/2007","1,084.00","1,087.50","1,089.50","1,078.00","48.80K","-0.28%"
"11/20/2007","1,087.00","1,069.00","1,088.25","1,053.00","74.39K","1.54%"
"11/19/2007","1,070.50","1,079.00","1,090.00","1,069.50","68.46K","-0.67%"
"11/16/2007","1,077.75","1,078.75","1,088.00","1,076.25","71.05K","-0.09%"
"11/15/2007","1,078.75","1,079.50","1,083.25","1,070.50","78.48K","1.20%"
"11/14/2007","1,066.00","1,045.00","1,068.25","1,043.50","1.74K","2.08%"
"11/13/2007","1,044.25","1,031.50","1,049.00","1,031.50","3.58K","1.11%"
"11/12/2007","1,032.75","1,037.25","1,037.50","1,021.00","2.23K","-0.98%"
"11/09/2007","1,043.00","1,027.00","1,043.00","1,019.75","2.51K","1.46%"
"11/08/2007","1,028.00","1,021.00","1,033.25","1,020.00","3.70K","0.42%"
"11/07/2007","1,023.75","1,028.00","1,038.00","1,015.25","7.71K","-0.56%"
"11/06/2007","1,029.50","1,005.75","1,036.50","1,004.00","10.79K","2.36%"
"11/05/2007","1,005.75","996.00","1,009.00","993.25","10.17K","0.40%"
"11/02/2007","1,001.75","990.00","1,010.00","988.25","17.49K","1.11%"
"11/01/2007","990.75","1,009.50","1,018.50","964.25","38.57K","-1.91%"
"10/31/2007","1,010.00","990.25","1,016.50","987.75","52.26K","1.81%"
"10/30/2007","992.00","1,008.50","1,010.25","990.50","79.38K","-1.88%"
"10/29/2007","1,011.00","1,000.00","1,014.00","996.00","65.80K","1.56%"
"10/26/2007","995.50","993.75","1,007.00","992.50","57.01K","0.08%"
"10/25/2007","994.75","976.50","996.75","975.00","53.49K","1.90%"
"10/24/2007","976.25","980.75","987.00","974.00","60.62K","-0.56%"
"10/23/2007","981.75","976.50","988.00","976.25","70.27K","0.54%"
"10/22/2007","976.50","979.00","984.50","961.00","76.53K","-0.69%"
"10/19/2007","983.25","987.75","994.00","975.50","57.41K","-0.83%"
"10/18/2007","991.50","974.00","996.75","973.00","72.38K","1.77%"
"10/17/2007","974.25","975.00","988.00","967.50","75.15K","-0.33%"
"10/16/2007","977.50","986.50","994.00","974.25","59.16K","-0.96%"
"10/15/2007","987.00","977.25","992.25","972.50","79.42K","1.05%"
"10/12/2007","976.75","979.00","993.25","973.25","109.66K","-0.48%"
"10/11/2007","981.50","969.50","984.25","963.00","99.96K","1.37%"
"10/10/2007","968.25","952.50","970.00","951.50","101.78K","1.89%"
"10/09/2007","950.25","923.00","952.75","922.00","109.72K","2.67%"
"10/08/2007","925.50","937.00","939.25","922.75","107.38K","-1.59%"
"10/05/2007","940.50","954.50","958.00","937.25","110.28K","-1.44%"
"10/04/2007","954.25","951.25","958.50","946.00","67.88K","0.34%"
"10/03/2007","951.00","944.50","957.50","931.00","108.93K","0.77%"
"10/02/2007","943.75","991.25","994.00","941.50","137.24K","-4.82%"
"10/01/2007","991.50","991.50","999.25","985.50","66.09K","0.03%"
"09/28/2007","991.25","1,007.50","1,012.00","985.50","93.51K","-1.76%"
"09/27/2007","1,009.00","991.50","1,017.75","991.00","97.75K","1.84%"
"09/26/2007","990.75","971.00","992.25","970.50","78.49K","1.82%"
"09/25/2007","973.00","975.75","982.75","970.00","64.23K","-0.59%"
"09/24/2007","978.75","977.50","987.00","971.00","71.74K","-0.03%"
"09/21/2007","979.00","990.00","993.00","978.00","74.49K","-0.96%"
"09/20/2007","988.50","969.00","996.75","967.50","83.47K","1.80%"
"09/19/2007","971.00","971.25","977.00","952.75","90.45K","0.15%"
"09/18/2007","969.50","966.00","977.75","960.25","77.50K","0.10%"
"09/17/2007","968.50","963.00","974.75","960.00","87.19K","2.92%"
"09/14/2007","941.00","931.25","944.00","930.00","0.11K","1.40%"
"09/13/2007","928.00","926.75","932.00","921.00","0.35K","0.32%"
"09/12/2007","925.00","906.25","940.00","906.00","1.01K","2.21%"
"09/11/2007","905.00","900.00","906.00","899.75","1.97K","0.17%"
"09/10/2007","903.50","895.00","904.00","890.75","3.46K","1.40%"
"09/07/2007","891.00","879.50","892.75","872.50","4.79K","1.48%"
"09/06/2007","878.00","885.50","887.50","874.75","5.56K","-1.24%"
"09/05/2007","889.00","892.75","901.00","885.00","9.25K","-0.39%"
"09/04/2007","892.50","875.25","899.25","875.25","10.62K","2.82%"
"08/31/2007","868.00","870.00","880.50","867.00","15.16K","-0.29%"
"08/30/2007","870.50","859.00","878.00","856.00","20.64K","1.40%"
"08/29/2007","858.50","853.00","862.00","848.75","15.93K","0.38%"
