"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1980","881.48","875.84","884.64","866.30","","0.64%"
"01/31/1980","875.85","881.91","897.88","873.05","","-0.69%"
"01/30/1980","881.91","874.41","886.09","870.14","","0.86%"
"01/29/1980","874.40","878.50","885.67","864.59","","-0.47%"
"01/28/1980","878.50","876.11","884.56","866.64","","0.27%"
"01/25/1980","876.11","879.95","882.25","869.03","","-0.44%"
"01/24/1980","879.95","877.56","891.38","874.16","","0.27%"
"01/23/1980","877.56","866.20","883.02","859.39","","1.31%"
"01/22/1980","866.21","872.78","879.95","861.95","","-0.75%"
"01/21/1980","872.78","867.16","880.03","863.66","","0.65%"
"01/18/1980","867.15","863.56","873.20","855.30","","0.41%"
"01/17/1980","863.57","865.19","872.95","857.00","","-0.19%"
"01/16/1980","865.19","868.59","881.14","862.13","","-0.39%"
"01/15/1980","868.60","863.56","873.81","855.89","","0.58%"
"01/14/1980","863.57","858.53","870.66","854.95","","0.59%"
"01/11/1980","858.53","858.95","868.17","848.89","","-0.05%"
"01/10/1980","858.96","850.09","866.72","848.89","","1.04%"
"01/09/1980","850.09","851.70","865.70","846.77","","-0.19%"
"01/08/1980","851.71","832.00","853.67","828.84","","2.37%"
"01/07/1980","832.00","828.84","839.84","824.73","","0.38%"
"01/04/1980","828.84","820.31","833.53","819.03","","1.04%"
"01/03/1980","820.31","824.56","827.73","809.05","","-0.52%"
"01/02/1980","824.57","838.74","841.20","822.34","","-1.69%"
"12/31/1979","838.74","838.91","843.17","834.39","","-0.02%"
"12/28/1979","838.91","840.10","843.43","834.64","","-0.14%"
"12/27/1979","840.10","838.14","842.83","834.47","","0.23%"
"12/26/1979","838.14","839.16","843.09","833.79","","-0.12%"
"12/25/1979","839.16","838.91","842.32","833.19","","0.00%"
