"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2006","11,382.51","11,349.53","11,416.93","11,275.30","361.74M","0.25%"
"04/26/2006","11,354.49","11,283.25","11,379.87","11,282.77","270.27M","0.63%"
"04/25/2006","11,283.25","11,336.56","11,355.37","11,260.84","289.23M","-0.47%"
"04/24/2006","11,336.32","11,346.81","11,359.70","11,305.83","232.00M","-0.10%"
"04/21/2006","11,347.45","11,343.45","11,405.88","11,316.79","325.09M","0.04%"
"04/20/2006","11,342.89","11,278.53","11,384.11","11,275.05","336.42M","0.57%"
"04/19/2006","11,278.77","11,265.40","11,302.95","11,236.19","292.28M","0.09%"
"04/18/2006","11,268.77","11,074.58","11,280.45","11,074.58","309.66M","1.76%"
"04/17/2006","11,073.78","11,137.33","11,159.99","11,039.12","239.73M","-0.57%"
"04/13/2006","11,137.65","11,130.13","11,178.40","11,105.80","230.87M","0.07%"
"04/12/2006","11,129.97","11,089.47","11,144.14","11,087.47","212.59M","0.36%"
"04/11/2006","11,089.63","11,141.33","11,186.64","11,053.17","266.08M","-0.46%"
"04/10/2006","11,141.33","11,119.88","11,185.54","11,117.08","207.38M","0.19%"
"04/07/2006","11,120.04","11,217.14","11,269.30","11,108.02","256.29M","-0.86%"
"04/06/2006","11,216.50","11,233.01","11,246.91","11,167.03","240.37M","-0.21%"
"04/05/2006","11,239.55","11,203.21","11,250.99","11,169.35","250.19M","0.32%"
"04/04/2006","11,203.85","11,142.54","11,226.98","11,123.57","246.95M","0.53%"
"04/03/2006","11,144.94","11,113.00","11,247.87","11,113.00","278.44M","0.32%"
"03/31/2006","11,109.32","11,151.34","11,191.36","11,105.65","317.00M","-0.37%"
"03/30/2006","11,150.70","11,216.34","11,259.16","11,117.64","276.90M","-0.58%"
"03/29/2006","11,215.70","11,154.94","11,244.35","11,154.94","279.47M","0.55%"
"03/28/2006","11,154.54","11,250.11","11,281.77","11,145.02","272.49M","-0.85%"
"03/27/2006","11,250.11","11,280.13","11,280.45","11,229.86","226.24M","-0.26%"
"03/24/2006","11,279.97","11,270.61","11,316.09","11,244.03","240.80M","0.09%"
"03/23/2006","11,270.29","11,317.35","11,327.20","11,237.15","292.42M","-0.42%"
"03/22/2006","11,317.43","11,234.51","11,328.80","11,226.42","342.98M","0.73%"
"03/21/2006","11,235.47","11,275.89","11,334.96","11,221.54","331.80M","-0.35%"
"03/20/2006","11,274.53","11,278.93","11,308.39","11,259.80","247.41M","-0.05%"
"03/17/2006","11,279.65","11,254.12","11,290.07","11,254.12","480.83M","0.23%"
"03/16/2006","11,253.24","11,210.97","11,282.45","11,210.57","306.15M","0.39%"
"03/15/2006","11,209.77","11,149.76","11,226.74","11,138.93","274.74M","0.52%"
"03/14/2006","11,151.34","11,076.02","11,161.35","11,058.65","251.56M","0.68%"
"03/13/2006","11,076.02","11,067.61","11,116.68","11,056.33","251.02M","0.00%"
"03/10/2006","11,076.34","10,972.92","11,098.99","10,972.92","257.44M","0.95%"
"03/09/2006","10,972.28","11,005.66","11,049.12","10,963.88","266.39M","-0.30%"
"03/08/2006","11,005.74","10,977.08","11,026.71","10,922.73","276.61M","0.23%"
"03/07/2006","10,980.69","10,957.31","10,989.01","10,928.74","284.77M","0.20%"
"03/06/2006","10,958.59","11,022.47","11,037.12","10,929.22","292.51M","-0.57%"
